Sample; Iteration No.; Running Time [ms]
./samples/easy/1EASY.bmp; 3; 106.271000
./samples/easy/1EASY.bmp; 4; 98.472000
./samples/easy/1EASY.bmp; 5; 83.891000
./samples/easy/1EASY.bmp; 6; 73.034000
./samples/easy/1EASY.bmp; 7; 71.220000
./samples/easy/1EASY.bmp; 8; 70.944000
./samples/easy/2EASY.bmp; 3; 105.827000
./samples/easy/2EASY.bmp; 4; 98.814000
./samples/easy/2EASY.bmp; 5; 83.475000
./samples/easy/2EASY.bmp; 6; 73.241000
./samples/easy/2EASY.bmp; 7; 72.267000
./samples/easy/2EASY.bmp; 8; 71.916000
./samples/easy/3EASY.bmp; 3; 105.928000
./samples/easy/3EASY.bmp; 4; 96.576000
./samples/easy/3EASY.bmp; 5; 83.127000
./samples/easy/3EASY.bmp; 6; 73.540000
./samples/easy/3EASY.bmp; 7; 72.123000
./samples/easy/3EASY.bmp; 8; 71.948000
./samples/easy/4EASY.bmp; 3; 106.591000
./samples/easy/4EASY.bmp; 4; 99.547000
./samples/easy/4EASY.bmp; 5; 84.071000
./samples/easy/4EASY.bmp; 6; 72.354000
./samples/easy/4EASY.bmp; 7; 70.987000
./samples/easy/4EASY.bmp; 8; 71.194000
./samples/easy/5EASY.bmp; 3; 112.139000
./samples/easy/5EASY.bmp; 4; 98.150000
./samples/easy/5EASY.bmp; 5; 81.885000
./samples/easy/5EASY.bmp; 6; 72.817000
./samples/easy/5EASY.bmp; 7; 71.754000
./samples/easy/6EASY.bmp; 3; 106.492000
./samples/easy/6EASY.bmp; 4; 98.412000
./samples/easy/6EASY.bmp; 5; 83.562000
./samples/easy/6EASY.bmp; 6; 72.325000
./samples/easy/6EASY.bmp; 7; 71.527000
./samples/easy/7EASY.bmp; 3; 105.789000
./samples/easy/7EASY.bmp; 4; 97.875000
./samples/easy/7EASY.bmp; 5; 83.245000
./samples/easy/7EASY.bmp; 6; 73.643000
./samples/easy/7EASY.bmp; 7; 71.995000
./samples/easy/7EASY.bmp; 8; 71.207000
./samples/easy/7EASY.bmp; 9; 71.677000
