Sample; Iteration No.; Running Time [ms]
./samples/easy/1EASY.bmp; 3; 448.987000
./samples/easy/1EASY.bmp; 4; 472.225000
./samples/easy/1EASY.bmp; 5; 505.168000
./samples/easy/1EASY.bmp; 6; 513.939000
./samples/easy/1EASY.bmp; 7; 507.398000
./samples/easy/1EASY.bmp; 8; 510.419000
./samples/easy/2EASY.bmp; 3; 450.467000
./samples/easy/2EASY.bmp; 4; 467.644000
./samples/easy/2EASY.bmp; 5; 495.725000
./samples/easy/2EASY.bmp; 6; 501.796000
./samples/easy/2EASY.bmp; 7; 502.509000
./samples/easy/2EASY.bmp; 8; 504.346000
./samples/easy/3EASY.bmp; 3; 450.255000
./samples/easy/3EASY.bmp; 4; 469.646000
./samples/easy/3EASY.bmp; 5; 494.160000
./samples/easy/3EASY.bmp; 6; 502.226000
./samples/easy/3EASY.bmp; 7; 505.677000
./samples/easy/3EASY.bmp; 8; 505.774000
./samples/easy/4EASY.bmp; 3; 449.060000
./samples/easy/4EASY.bmp; 4; 466.225000
./samples/easy/4EASY.bmp; 5; 500.682000
./samples/easy/4EASY.bmp; 6; 503.345000
./samples/easy/4EASY.bmp; 7; 502.958000
./samples/easy/4EASY.bmp; 8; 512.259000
./samples/easy/5EASY.bmp; 3; 477.052000
./samples/easy/5EASY.bmp; 4; 479.022000
./samples/easy/5EASY.bmp; 5; 505.607000
./samples/easy/5EASY.bmp; 6; 513.251000
./samples/easy/5EASY.bmp; 7; 516.066000
./samples/easy/6EASY.bmp; 3; 455.236000
./samples/easy/6EASY.bmp; 4; 472.307000
./samples/easy/6EASY.bmp; 5; 504.662000
./samples/easy/6EASY.bmp; 6; 509.205000
./samples/easy/6EASY.bmp; 7; 512.429000
./samples/easy/7EASY.bmp; 3; 457.759000
./samples/easy/7EASY.bmp; 4; 475.100000
./samples/easy/7EASY.bmp; 5; 501.934000
./samples/easy/7EASY.bmp; 6; 507.509000
./samples/easy/7EASY.bmp; 7; 510.063000
./samples/easy/7EASY.bmp; 8; 509.775000
./samples/easy/7EASY.bmp; 9; 514.470000
./samples/easy/7EASY.bmp; 10; 509.479000
./samples/easy/8EASY.bmp; 3; 462.377000
./samples/easy/8EASY.bmp; 4; 478.653000
./samples/easy/8EASY.bmp; 5; 509.553000
./samples/easy/8EASY.bmp; 6; 510.302000
./samples/easy/8EASY.bmp; 7; 502.707000
./samples/easy/8EASY.bmp; 8; 505.143000
./samples/easy/8EASY.bmp; 9; 502.293000
./samples/easy/9EASY.bmp; 3; 455.886000
./samples/easy/9EASY.bmp; 4; 472.410000
./samples/easy/9EASY.bmp; 5; 501.101000
./samples/easy/9EASY.bmp; 6; 501.823000
./samples/easy/9EASY.bmp; 7; 505.143000
./samples/easy/9EASY.bmp; 8; 510.318000
./samples/easy/10EASY.bmp; 3; 450.205000
./samples/easy/10EASY.bmp; 4; 466.734000
./samples/easy/10EASY.bmp; 5; 494.232000
./samples/easy/10EASY.bmp; 6; 504.565000
./samples/easy/10EASY.bmp; 7; 504.639000
./samples/easy/10EASY.bmp; 8; 503.782000
./samples/easy/10EASY.bmp; 9; 503.724000
./samples/medium/1MEDIUM.bmp; 3; 464.187000
./samples/medium/1MEDIUM.bmp; 4; 470.596000
./samples/medium/1MEDIUM.bmp; 5; 488.895000
./samples/medium/1MEDIUM.bmp; 6; 495.016000
./samples/medium/1MEDIUM.bmp; 7; 499.201000
./samples/medium/1MEDIUM.bmp; 8; 503.477000
./samples/medium/1MEDIUM.bmp; 9; 503.911000
./samples/medium/1MEDIUM.bmp; 10; 504.304000
./samples/medium/2MEDIUM.bmp; 3; 460.144000
./samples/medium/2MEDIUM.bmp; 4; 466.918000
./samples/medium/2MEDIUM.bmp; 5; 491.989000
./samples/medium/2MEDIUM.bmp; 6; 503.960000
./samples/medium/2MEDIUM.bmp; 7; 503.419000
./samples/medium/2MEDIUM.bmp; 8; 503.653000
./samples/medium/2MEDIUM.bmp; 9; 503.322000
